filename,source,rows,cols,target,task_type
cardio_train.csv,Kaggle/UCI,70000,13,cardio,Classification
customer churn.csv,Kaggle,7043,21,Churn,Classification
Dirty Dataset to practice Data Cleaning.csv,Kaggle,20,11,Actual gross,Regression
employee attrition.csv,Kaggle,1470,35,Attrition,Classification
Iris 1 .csv,UCI,150,6,Species,Classification
messy_IMDB_dataset.csv,Kaggle,101,12,Score,Regression
Uncleaned_DS_jobs.csv,Kaggle,672,15,Salary Estimate,Regression
automobile_dataset.csv,Kaggle/UCI,205,26,price,Regression
adult.csv,UCI,32561,15,income,Classification
abalone.csv,UCI,4177,9,Rings,Regression
car_evaluation.csv,UCI,1728,7,class,Classification
